Time,Oxygen Level,Pulse Rate,Motion,O2 Reminder,PR Reminder
22:50:48 Mar 06 2025,93,73,5,0,0
22:50:52 Mar 06 2025,93,73,4,0,0
22:50:56 Mar 06 2025,93,72,0,0,0
22:51:00 Mar 06 2025,93,73,0,0,0
22:51:04 Mar 06 2025,93,74,0,0,0
22:51:08 Mar 06 2025,93,74,0,0,0
22:51:12 Mar 06 2025,93,75,1,0,0
22:51:16 Mar 06 2025,93,75,1,0,0
22:51:20 Mar 06 2025,93,76,1,0,0
22:51:24 Mar 06 2025,93,76,10,0,0
22:51:28 Mar 06 2025,93,76,15,0,0
22:51:32 Mar 06 2025,93,76,7,0,0
22:51:36 Mar 06 2025,93,76,14,0,0
22:51:40 Mar 06 2025,93,77,1,0,0
22:51:44 Mar 06 2025,94,78,1,0,0
22:51:48 Mar 06 2025,94,75,1,0,0
22:51:52 Mar 06 2025,95,74,1,0,0
22:51:56 Mar 06 2025,95,74,2,0,0
22:52:00 Mar 06 2025,95,77,2,0,0
22:52:04 Mar 06 2025,94,78,1,0,0
22:52:08 Mar 06 2025,96,76,13,0,0
22:52:12 Mar 06 2025,96,77,7,0,0
22:52:16 Mar 06 2025,96,77,9,0,0
22:52:20 Mar 06 2025,96,77,1,0,0
22:52:24 Mar 06 2025,95,76,1,0,0
22:52:28 Mar 06 2025,94,77,1,0,0
22:52:32 Mar 06 2025,94,77,1,0,0
22:52:36 Mar 06 2025,94,77,9,0,0
22:52:40 Mar 06 2025,94,78,1,0,0
22:52:44 Mar 06 2025,94,78,1,0,0
22:52:48 Mar 06 2025,94,78,1,0,0
22:52:52 Mar 06 2025,94,79,1,0,0
22:52:56 Mar 06 2025,94,78,0,0,0
22:53:00 Mar 06 2025,94,77,1,0,0
22:53:04 Mar 06 2025,94,77,1,0,0
22:53:08 Mar 06 2025,94,78,1,0,0
22:53:12 Mar 06 2025,93,78,1,0,0
22:53:16 Mar 06 2025,94,77,1,0,0
22:53:20 Mar 06 2025,95,77,1,0,0
22:53:24 Mar 06 2025,95,77,1,0,0
22:53:28 Mar 06 2025,95,77,1,0,0
22:53:32 Mar 06 2025,94,76,3,0,0
22:53:36 Mar 06 2025,94,76,9,0,0
22:53:40 Mar 06 2025,94,76,2,0,0
22:53:44 Mar 06 2025,94,72,21,0,0
22:53:48 Mar 06 2025,94,72,2,0,0
22:53:52 Mar 06 2025,94,72,1,0,0
22:53:56 Mar 06 2025,94,75,1,0,0
22:54:00 Mar 06 2025,93,76,1,0,0
22:54:04 Mar 06 2025,92,76,1,0,0
22:54:08 Mar 06 2025,92,77,9,0,0
22:54:12 Mar 06 2025,92,76,12,0,0
22:54:16 Mar 06 2025,94,74,2,0,0
22:54:20 Mar 06 2025,95,72,1,0,0
22:54:24 Mar 06 2025,95,74,1,0,0
22:54:28 Mar 06 2025,95,74,1,0,0
22:54:32 Mar 06 2025,95,74,2,0,0
22:54:36 Mar 06 2025,94,77,1,0,0
22:54:40 Mar 06 2025,94,77,2,0,0
22:54:44 Mar 06 2025,94,75,1,0,0
22:54:48 Mar 06 2025,94,73,2,0,0
22:54:52 Mar 06 2025,94,72,1,0,0
22:54:56 Mar 06 2025,95,71,1,0,0
22:55:00 Mar 06 2025,95,71,1,0,0
22:55:04 Mar 06 2025,94,72,1,0,0
22:55:08 Mar 06 2025,94,73,1,0,0
22:55:12 Mar 06 2025,94,74,2,0,0
22:55:16 Mar 06 2025,94,75,2,0,0
22:55:20 Mar 06 2025,95,76,2,0,0
22:55:24 Mar 06 2025,94,77,9,0,0
22:55:28 Mar 06 2025,94,77,8,0,0
22:55:32 Mar 06 2025,95,75,2,0,0
22:55:36 Mar 06 2025,95,74,1,0,0
22:55:40 Mar 06 2025,95,73,4,0,0
22:55:44 Mar 06 2025,96,71,6,0,0
22:55:48 Mar 06 2025,96,72,2,0,0
22:55:52 Mar 06 2025,96,73,16,0,0
22:55:56 Mar 06 2025,96,74,1,0,0
22:56:00 Mar 06 2025,96,72,1,0,0
22:56:04 Mar 06 2025,96,71,1,0,0
22:56:08 Mar 06 2025,96,73,12,0,0
22:56:12 Mar 06 2025,96,73,7,0,0
22:56:16 Mar 06 2025,96,73,12,0,0
22:56:20 Mar 06 2025,96,73,4,0,0
22:56:24 Mar 06 2025,96,73,1,0,0
22:56:28 Mar 06 2025,96,74,1,0,0
22:56:32 Mar 06 2025,97,72,1,0,0
22:56:36 Mar 06 2025,97,72,1,0,0
22:56:40 Mar 06 2025,97,72,1,0,0
22:56:44 Mar 06 2025,96,73,1,0,0
22:56:48 Mar 06 2025,96,73,1,0,0
22:56:52 Mar 06 2025,96,73,1,0,0
22:56:56 Mar 06 2025,96,72,1,0,0
22:57:00 Mar 06 2025,95,71,1,0,0
22:57:04 Mar 06 2025,94,72,1,0,0
22:57:08 Mar 06 2025,94,73,1,0,0
22:57:12 Mar 06 2025,93,73,1,0,0
22:57:16 Mar 06 2025,93,72,1,0,0
22:57:20 Mar 06 2025,93,74,2,0,0
22:57:24 Mar 06 2025,93,75,7,0,0
22:57:28 Mar 06 2025,93,75,17,0,0
22:57:32 Mar 06 2025,93,75,2,0,0
22:57:36 Mar 06 2025,94,76,1,0,0
22:57:40 Mar 06 2025,94,77,1,0,0
